Entry	Entry name	Status	Protein names	Organism	Gene names  (primary )	Cross-reference (RefSeq)	Cross-reference (PhosphoSitePlus)
P41135	ID1_RAT	reviewed	DNA-binding protein inhibitor ID-1 (Inhibitor of DNA binding 1) (Inhibitor of differentiation 1)	Rattus norvegicus (Rat)	Id1	NP_036929.2 [P41135-2];	
Q4L1J4	MAGI1_RAT	reviewed	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (BAI1-associated protein 1) (BAP-1) (Membrane-associated guanylate kinase inverted 1) (MAGI-1)	Rattus norvegicus (Rat)	Magi1	NP_001025216.1 [Q4L1J4-1];	Q4L1J4;
Q5BK17	IYD1_RAT	reviewed	Iodotyrosine deiodinase 1 (IYD-1) (EC 1.21.1.1) (Iodotyrosine dehalogenase 1)	Rattus norvegicus (Rat)	Iyd	NP_001020171.1;	Q5BK17;
Q9QYE7	ITAD_RAT	reviewed	Integrin alpha-D (CD antigen CD11d)	Rattus norvegicus (Rat)	Itgad	NP_113879.1;	
Q3SWT4	IWS1_RAT	reviewed	Protein IWS1 homolog (IWS1-like protein)	Rattus norvegicus (Rat)	Iws1	NP_001030090.1;XP_006254634.1;	Q3SWT4;
P12007	IVD_RAT	reviewed	Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4) (Butyryl-CoA dehydrogenase) (EC 1.3.8.1)	Rattus norvegicus (Rat)	Ivd	NP_036724.1;	P12007;
Q4KLL9	KI18B_RAT	reviewed	Kinesin-like protein KIF18B	Rattus norvegicus (Rat)	Kif18b	NP_001034108.1;XP_006247567.1;	Q4KLL9;
Q9ER26	KCNS2_RAT	reviewed	Potassium voltage-gated channel subfamily S member 2 (Delayed-rectifier K(+) channel alpha subunit 2) (Voltage-gated potassium channel subunit Kv9.2)	Rattus norvegicus (Rat)	Kcns2	NP_076456.1;	
Q5XI99	LAMP3_RAT	reviewed	Lysosome-associated membrane glycoprotein 3 (LAMP-3) (Lysosomal-associated membrane protein 3) (CD antigen CD208)	Rattus norvegicus (Rat)	Lamp3	NP_001012015.1;XP_017453457.1;	
P17046	LAMP2_RAT	reviewed	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-110) (LGP-96) (Lysosomal membrane glycoprotein type B) (LGP-B) (CD antigen CD107b)	Rattus norvegicus (Rat)	Lamp2	NP_058764.2;	
Q6AXZ2	LRC46_RAT	reviewed	Leucine-rich repeat-containing protein 46	Rattus norvegicus (Rat)	Lrrc46	NP_001004201.1;	Q6AXZ2;
Q8K5B3	MCFD2_RAT	reviewed	Multiple coagulation factor deficiency protein 2 homolog (Neural stem cell-derived neuronal survival protein)	Rattus norvegicus (Rat)	Mcfd2	NP_640346.1;	Q8K5B3;
P63004	LIS1_RAT	reviewed	Platelet-activating factor acetylhydrolase IB subunit alpha (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha)	Rattus norvegicus (Rat)	Pafah1b1	NP_113951.1;XP_017453039.1;	P63004;
Q6P742	PLP2_RAT	reviewed	Proteolipid protein 2	Rattus norvegicus (Rat)	Plp2	NP_997484.1;	
O70417	PIP_RAT	reviewed	Prolactin-inducible protein homolog (Prolactin-induced protein)	Rattus norvegicus (Rat)	Pip	NP_073199.1;	
P53809	PPCT_RAT	reviewed	Phosphatidylcholine transfer protein (PC-TP) (START domain-containing protein 2) (StARD2) (StAR-related lipid transfer protein 2)	Rattus norvegicus (Rat)	Pctp	NP_058921.1;	
Q6P9U4	PLD3B_RAT	reviewed	PRELI domain containing protein 3B (Protein slowmo homolog 2)	Rattus norvegicus (Rat)	Prelid3b	NP_001009543.1;	Q6P9U4;
Q4KM33	PLEK_RAT	reviewed	Pleckstrin	Rattus norvegicus (Rat)	Plek	NP_001020921.1;XP_006251582.1;	Q4KM33;
P11248	PRM2_RAT	reviewed	Protamine-2 (Sperm histone P2) (Sperm protamine P2)	Rattus norvegicus (Rat)	Prm2	NP_037005.1;	P11248;
Q8CGS5	RNZ2_RAT	reviewed	Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)	Rattus norvegicus (Rat)	Elac2	NP_758829.1;	Q8CGS5;
O88846	RNF4_RAT	reviewed	E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RNF4) (Small nuclear ring finger protein) (Protein SNURF)	Rattus norvegicus (Rat)	Rnf4	NP_062055.1;XP_008768493.1;XP_008768494.1;XP_008768495.1;XP_017454634.1;XP_017454635.1;	O88846;
P45446	RORB_RAT	reviewed	Nuclear receptor ROR-beta (Nuclear receptor RZR-beta) (Nuclear receptor subfamily 1 group F member 2) (Retinoid-related orphan receptor-beta)	Rattus norvegicus (Rat)	Rorb		P45446;
P0C2C1	RM30_RAT	reviewed	39S ribosomal protein L30, mitochondrial (L30mt) (MRP-L30)	Rattus norvegicus (Rat)	Mrpl30	NP_001100373.1;XP_008765221.1;XP_008765278.1;XP_008765279.1;XP_017459345.1;XP_017459346.1;	
Q5BJR8	RXRG_RAT	reviewed	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	Rattus norvegicus (Rat)	Rxrg	NP_113953.1;	Q5BJR8;
Q5RKL7	S35E4_RAT	reviewed	Solute carrier family 35 member E4	Rattus norvegicus (Rat)	Slc35e4	NP_695228.2;	
Q5RJZ1	RTEL1_RAT	reviewed	Regulator of telomere elongation helicase 1 (EC 3.6.4.12)	Rattus norvegicus (Rat)	Rtel1	NP_001178786.1 [Q5RJZ1-1];	Q5RJZ1;
P55016	S12A1_RAT	reviewed	Solute carrier family 12 member 1 (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 1) (BSC1) (Kidney-specific Na-K-Cl symporter)	Rattus norvegicus (Rat)	Slc12a1		P55016;
O09014	S15A4_RAT	reviewed	Solute carrier family 15 member 4 (Peptide/histidine transporter 1) (rPHT1)	Rattus norvegicus (Rat)	Slc15a4	NP_653359.1;	
Q499P8	RUSF1_RAT	reviewed	RUS family member 1	Rattus norvegicus (Rat)	Rusf1	NP_001030594.1;	
Q64380	SARDH_RAT	reviewed	Sarcosine dehydrogenase, mitochondrial (SarDH) (EC 1.5.8.3)	Rattus norvegicus (Rat)	Sardh	NP_446116.1;	Q64380;
Q63008	SC5A5_RAT	reviewed	Sodium/iodide cotransporter (Na(+)/I(-) cotransporter) (Sodium-iodide symporter) (Na(+)/I(-) symporter) (Solute carrier family 5 member 5)	Rattus norvegicus (Rat)	Slc5a5	NP_443215.2;	Q63008;
Q5RJQ7	SDHF2_RAT	reviewed	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)	Rattus norvegicus (Rat)	Sdhaf2	NP_001008372.1;	Q5RJQ7;
P28573	SC6A7_RAT	reviewed	Sodium-dependent proline transporter (Solute carrier family 6 member 7)	Rattus norvegicus (Rat)	Slc6a7	NP_446448.2;	P28573;
P58295	SC6A5_RAT	reviewed	Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)	Rattus norvegicus (Rat)	Slc6a5	NP_976079.1;XP_017444218.1 [P58295-2];	P58295;
P33671	SDC3_RAT	reviewed	Syndecan-3 (SYND3) (N-syndecan) (Neuroglycan)	Rattus norvegicus (Rat)	Sdc3	NP_446345.3;	P33671;
Q9JI92	SDCB1_RAT	reviewed	Syntenin-1 (Syndecan-binding protein 1)	Rattus norvegicus (Rat)	Sdcbp	NP_114192.1;	Q9JI92;
P25236	SEPP1_RAT	reviewed	Selenoprotein P (SeP) [Cleaved into: Selenoprotein Se-P10; Selenoprotein Se-P6; Selenoprotein Se-P2; Selenoprotein Se-P1]	Rattus norvegicus (Rat)	Selenop	NP_001077380.1;NP_062065.2;	P25236;
Q9WU34	SEPT3_RAT	reviewed	Neuronal-specific septin-3 (G-septin) (P40)	Rattus norvegicus (Rat)	Septin3	NP_062248.1;	Q9WU34;
Q9QZX8	SO1B2_RAT	reviewed	Solute carrier organic anion transporter family member 1B2 (Liver-specific organic anion transporter 1) (rLST-1) (Sodium-independent organic anion-transporting polypeptide 4) (OATP-4) (Solute carrier family 21 member 10)	Rattus norvegicus (Rat)	Slco1b2	NP_001257515.1 [Q9QZX8-1];NP_001257516.1 [Q9QZX8-3];NP_113838.1 [Q9QZX8-2];	Q9QZX8;
Q9QYE2	SO1A6_RAT	reviewed	Solute carrier organic anion transporter family member 1A6 (Kidney-specific organic anion-transporting polypeptide 5) (OATP-5) (Solute carrier family 21 member 13)	Rattus norvegicus (Rat)	Slco1a6	NP_570092.1;XP_017448409.1;XP_017448410.1;XP_017448411.1;	
P0C219	SLMAP_RAT	reviewed	Sarcolemmal membrane-associated protein	Rattus norvegicus (Rat)	Slmap		P0C219;
B5DF41	SNPH_RAT	reviewed	Syntaphilin	Rattus norvegicus (Rat)	Snph	NP_001099995.1;	
P08723	SPBP_RAT	reviewed	Prostatic spermine-binding protein (SBP)	Rattus norvegicus (Rat)	Sbp		
Q63673	SHH_RAT	reviewed	Sonic hedgehog protein (SHH) (Shh unprocessed N-terminal signaling and C-terminal autoprocessing domains) (ShhNC) [Cleaved into: Sonic hedgehog protein N-product (ShhN) (Shh N-terminal processed signaling domains) (ShhNp)]	Rattus norvegicus (Rat)	Shh	NP_058917.1;	
B0BNA1	SH3Y1_RAT	reviewed	SH3 domain-containing YSC84-like protein 1	Rattus norvegicus (Rat)	Sh3yl1	NP_001102175.1;	B0BNA1;
Q80W98	SGTB_RAT	reviewed	Small glutamine-rich tetratricopeptide repeat-containing protein beta (Beta-SGT) (Small glutamine-rich protein with tetratricopeptide repeats 2)	Rattus norvegicus (Rat)	Sgtb	NP_853660.1;XP_006231944.1;	
B0BN70	SMIM7_RAT	reviewed	Small integral membrane protein 7	Rattus norvegicus (Rat)	Smim7	NP_001128724.1;	
Q4KM93	TM177_RAT	reviewed	Transmembrane protein 177	Rattus norvegicus (Rat)	Tmem177	NP_001032865.1;XP_006249726.1;XP_006249727.1;	
Q62771	STA5A_RAT	reviewed	Signal transducer and activator of transcription 5A (Mammary gland factor)	Rattus norvegicus (Rat)	Stat5a	NP_058760.1 [Q62771-1];	Q62771;
Q3KRD0	SYDM_RAT	reviewed	Aspartate--tRNA ligase, mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	Rattus norvegicus (Rat)	Dars2	NP_001029315.1;	Q3KRD0;
Q925C0	SYT9_RAT	reviewed	Synaptotagmin-9 (Synaptotagmin 5) (Synaptotagmin IX) (SytIX) (Synaptotagmin V)	Rattus norvegicus (Rat)	Syt9	NP_445776.1;	Q925C0;
O70441	SYN3_RAT	reviewed	Synapsin-3 (Synapsin III)	Rattus norvegicus (Rat)	Syn3	NP_058805.1;	O70441;
P19332	TAU_RAT	reviewed	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	Rattus norvegicus (Rat)	Mapt		P19332;
Q9R1B1	T10B_RAT	reviewed	Mitochondrial import inner membrane translocase subunit Tim10 B (Fracture callus protein 1) (FxC1) (Mitochondrial import inner membrane translocase subunit Tim9 B) (TIMM10B) (Tim10b)	Rattus norvegicus (Rat)	Timm10b	NP_445823.1;	
B5DFA1	TBD2A_RAT	reviewed	TBC1 domain family member 2A	Rattus norvegicus (Rat)	Tbc1d2	XP_006238118.1;	
Q66HC4	PHOP2_RAT	reviewed	Pyridoxal phosphate phosphatase PHOSPHO2 (EC 3.1.3.74)	Rattus norvegicus (Rat)	Phospho2	NP_001007643.1;	
Q9Z0V6	PRDX3_RAT	reviewed	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.24) (PRx III) (Peroxiredoxin-3) (PRX-3) (Thioredoxin-dependent peroxiredoxin 3)	Rattus norvegicus (Rat)	Prdx3	NP_071985.1;	Q9Z0V6;
Q5PQL5	PTSS1_RAT	reviewed	Phosphatidylserine synthase 1 (PSS-1) (PtdSer synthase 1) (EC 2.7.8.29) (Serine-exchange enzyme I)	Rattus norvegicus (Rat)	Ptdss1	NP_001012113.1;	
P68907	PZRN3_RAT	reviewed	E3 ubiquitin-protein ligase PDZRN3 (EC 2.3.2.27) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3)	Rattus norvegicus (Rat)	Pdzrn3		P68907;
Q7TQ16	QCR8_RAT	reviewed	Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Low molecular mass ubiquinone-binding protein) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)	Rattus norvegicus (Rat)	Uqcrq	NP_001020305.1;XP_006246378.1;	Q7TQ16;
Q4V898	RBMX_RAT	reviewed	RNA-binding motif protein, X chromosome (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) (RNA-binding motif protein, X chromosome retrogene) (RNA-binding motif protein, X chromosome retrogene-like) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	Rattus norvegicus (Rat)	Rbmx	NP_001020834.1;XP_006257742.1;XP_006257743.1;XP_006257744.1;XP_006257745.1;	Q4V898;
Q4V8F3	RHBL4_RAT	reviewed	Rhomboid-related protein 4 (RRP4) (EC 3.4.21.105) (Rhomboid domain-containing protein 1) (rRHBDD1) (Rhomboid-like protein 4)	Rattus norvegicus (Rat)	Rhbdd1	NP_001020062.1;XP_008765472.1;	
P04916	RET4_RAT	reviewed	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP)	Rattus norvegicus (Rat)	Rbp4	NP_037294.1;	
Q3B7T9	RFIP1_RAT	reviewed	Rab11 family-interacting protein 1 (Rab11-FIP1) (Rab-coupling protein)	Rattus norvegicus (Rat)	Rab11fip1	NP_001178484.1;NP_001184170.1;	
Q642B3	RHBD3_RAT	reviewed	Rhomboid domain-containing protein 3	Rattus norvegicus (Rat)	Rhbdd3	NP_001013897.1;XP_006251266.1;XP_006251267.1;XP_006251268.1;XP_006251269.1;XP_006251270.1;XP_006251271.1;XP_006251272.1;	
P62919	RL8_RAT	reviewed	60S ribosomal protein L8	Rattus norvegicus (Rat)	Rpl8	NP_001030088.2;XP_002729189.1;XP_017450875.1;	P62919;
Q5GAL8	RNS12_RAT	reviewed	Probable inactive ribonuclease-like protein 12	Rattus norvegicus (Rat)	Rnase12	NP_001012209.1;XP_008768779.1;XP_008768780.1;XP_017455250.1;	
P84586	RMXRL_RAT	reviewed	RNA-binding motif protein, X chromosome retrogene-like (Heterogeneous nuclear ribonucleoprotein G retrogene-like) (hnRNP G) (RNA-binding motif protein, X chromosome retrogene) [Cleaved into: RNA-binding motif protein, X chromosome retrogene-like, N-terminally processed]	Rattus norvegicus (Rat)	Rbmxrtl	NP_001100890.1;	P84586;
Q924A5	S36A1_RAT	reviewed	Proton-coupled amino acid transporter 1 (Proton/amino acid transporter 1) (Lysosomal amino acid transporter 1) (LYAAT-1) (Neutral amino acid/proton symporter) (Solute carrier family 36 member 1)	Rattus norvegicus (Rat)	Slc36a1	NP_569099.1;XP_008765881.1;	
P31646	S6A13_RAT	reviewed	Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Solute carrier family 6 member 13)	Rattus norvegicus (Rat)	Slc6a13	NP_598307.1;XP_006237282.1;XP_006237283.1;	
Q5U1X7	S39A3_RAT	reviewed	Zinc transporter ZIP3 (Solute carrier family 39 member 3) (Zrt- and Irt-like protein 3) (ZIP-3)	Rattus norvegicus (Rat)	Slc39a3	NP_001008357.1;	Q5U1X7;
D3ZUM2	SARM1_RAT	reviewed	NAD(+) hydrolase SARM1 (NADase SARM1) (EC 3.2.2.6) (NADP(+) hydrolase SARM1) (EC 3.2.2.-) (Sterile alpha and TIR motif-containing protein 1)	Rattus norvegicus (Rat)	Sarm1	NP_001099287.1;	
P28572	SC6A9_RAT	reviewed	Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9)	Rattus norvegicus (Rat)	Slc6a9	NP_446270.1 [P28572-1];XP_006238687.1 [P28572-2];	P28572;
Q9JKE3	SCAM5_RAT	reviewed	Secretory carrier-associated membrane protein 5 (Secretory carrier membrane protein 5)	Rattus norvegicus (Rat)	Scamp5	NP_113914.1;	
O08651	SERA_RAT	reviewed	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95)	Rattus norvegicus (Rat)	Phgdh	NP_113808.1;XP_006233072.1;	O08651;
O54980	SNG2_RAT	reviewed	Synaptogyrin-2 (Cellugyrin)	Rattus norvegicus (Rat)	Syngr2	NP_446005.1;	O54980;
Q9R0A3	SPAT7_RAT	reviewed	Spermatogenesis-associated protein 7 homolog (Fertility-related protein WMP1) (Rat sperm DNA no.3) (RSD-3)	Rattus norvegicus (Rat)	Spata7		
Q6P6S0	SNP47_RAT	reviewed	Synaptosomal-associated protein 47 (SNAP-47) (Synaptosomal-associated 47 kDa protein)	Rattus norvegicus (Rat)	Snap47	NP_955421.1;XP_006246550.1;	Q6P6S0;
Q64686	SIA7C_RAT	reviewed	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 (EC 2.4.99.7) (GalNAc alpha-2,6-sialyltransferase III) (ST6GalNAc III) (ST6GalNAcIII) (STY) (Sialyltransferase 7C) (SIAT7-C)	Rattus norvegicus (Rat)	St6galnac3	NP_061996.1;	
P0C6C0	SPKAP_RAT	reviewed	A-kinase anchor protein SPHKAP (SPHK1-interactor and AKAP domain-containing protein) (Sphingosine kinase type 1-interacting protein)	Rattus norvegicus (Rat)	Sphkap		
O54835	SMAD9_RAT	reviewed	Mothers against decapentaplegic homolog 9 (MAD homolog 9) (Mothers against DPP homolog 9) (SMAD family member 9) (SMAD 9) (Smad9) (Smad8)	Rattus norvegicus (Rat)	Smad9	NP_620227.1;	O54835;
B0BN85	SGT1_RAT	reviewed	Protein SGT1 homolog (Suppressor of G2 allele of SKP1 homolog)	Rattus norvegicus (Rat)	Sugt1	NP_001013069.1;	B0BN85;
D4A280	PAK5_RAT	reviewed	Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)	Rattus norvegicus (Rat)	Pak5	NP_001101251.1;XP_017447245.1;XP_017447246.1;XP_017447247.1;	D4A280;
Q62967	MVD1_RAT	reviewed	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase)	Rattus norvegicus (Rat)	Mvd	NP_112324.1;	Q62967;
Q9WUB5	NCOR1_RAT	reviewed	Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Fragment)	Rattus norvegicus (Rat)	Ncor1		
Q6Y1S1	MYD88_RAT	reviewed	Myeloid differentiation primary response protein MyD88	Rattus norvegicus (Rat)	Myd88	NP_937763.1;XP_006244149.1;	
O35767	NKX25_RAT	reviewed	Homeobox protein Nkx-2.5 (rNKx-2.5) (Homeobox protein NK-2 homolog E)	Rattus norvegicus (Rat)	Nkx2-5	NP_446103.1;	O35767;
Q6T3U3	NPCL1_RAT	reviewed	NPC1-like intracellular cholesterol transporter 1 (Niemann-Pick C1-like protein 1)	Rattus norvegicus (Rat)	Npc1l1	NP_001002025.1;	
D9I2F9	NL1A1_RAT	reviewed	NACHT, LRR and PYD domains-containing protein 1a allele 1 (EC 3.4.-.-) [Cleaved into: NACHT, LRR and PYD domains-containing protein 1a, C-terminus (Nlrp1a-CT); NACHT, LRR and PYD domains-containing protein 1a, N-terminus (Nlrp1a-NT)]	Rattus norvegicus (Rat)	Nlrp1a	NP_001139227.2;XP_006246817.1;	
P29188	NEUAX_RAT	reviewed	Putative N-acylneuraminate cytidylyltransferase (EC 2.7.7.43) (CMP-N-acetylneuraminic acid synthase) (CMP-NeuNAc synthase) (Fragment)	Rattus norvegicus (Rat)			
P70617	NINJ1_RAT	reviewed	Ninjurin-1 (Nerve injury-induced protein 1) [Cleaved into: Secreted ninjurin-1]	Rattus norvegicus (Rat)	Ninj1	NP_036999.1;	P70617;
Q99P39	NFS1_RAT	reviewed	Cysteine desulfurase, mitochondrial (EC 2.8.1.7)	Rattus norvegicus (Rat)	Nfs1		Q99P39;
P20646	PPAP_RAT	reviewed	Prostatic acid phosphatase (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Fluoride-resistant acid phosphatase) (FRAP) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase)	Rattus norvegicus (Rat)	Acp3	NP_001128373.1 [P20646-2];NP_064457.1 [P20646-1];	
P97686	NRCAM_RAT	reviewed	Neuronal cell adhesion molecule (Nr-CAM) (Ankyrin-binding cell adhesion molecule NrCAM) (Neuronal surface protein Bravo) (rBravo) (NgCAM-related cell adhesion molecule) (Ng-CAM-related)	Rattus norvegicus (Rat)	Nrcam		P97686;
O35569	NRG2_RAT	reviewed	Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2) [Cleaved into: Neuregulin-2 (NRG-2) (Neural- and thymus-derived activator for ERBB kinases) (NTAK)]	Rattus norvegicus (Rat)	Nrg2	NP_001129623.1 [O35569-2];	O35569;
Q6MG14	NRM_RAT	reviewed	Nurim (Nuclear envelope membrane protein) (Nuclear rim protein)	Rattus norvegicus (Rat)	Nrm	NP_997673.1;	
Q63504	NR1D2_RAT	reviewed	Nuclear receptor subfamily 1 group D member 2 (EAR4) (Rev-erb-beta)	Rattus norvegicus (Rat)	Nr1d2	NP_671743.2 [Q63504-1];	Q63504;
D3ZZ80	OBSL1_RAT	reviewed	Obscurin-like protein 1	Rattus norvegicus (Rat)	Obsl1	XP_006226950.1;XP_006245367.1;	
Q8VIJ5	OGA_RAT	reviewed	Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Bifunctional protein NCOAT) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase)	Rattus norvegicus (Rat)	Oga	NP_571979.1 [Q8VIJ5-1];	Q8VIJ5;
Q5XI78	ODO1_RAT	reviewed	2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (Alpha-ketoglutarate dehydrogenase)	Rattus norvegicus (Rat)	Ogdh	NP_001017461.1;XP_006251508.1;XP_006251509.1;XP_017460322.1;XP_017460323.1;	Q5XI78;
Q5RKH6	OS9_RAT	reviewed	Protein OS-9	Rattus norvegicus (Rat)	Os9	NP_001007266.1;	Q5RKH6;
Q5M823	NUDC2_RAT	reviewed	NudC domain-containing protein 2	Rattus norvegicus (Rat)	Nudcd2	NP_001009621.1;	
B0K011	OSR1_RAT	reviewed	Protein odd-skipped-related 1	Rattus norvegicus (Rat)	Osr1	NP_001100186.1;XP_006239948.1;	B0K011;
Q6AXQ5	PDE12_RAT	reviewed	2',5'-phosphodiesterase 12 (2'-PDE) (2-PDE) (EC 3.1.4.-) (Mitochondrial deadenylase) (EC 3.1.13.4)	Rattus norvegicus (Rat)	Pde12		Q6AXQ5;
Q6AXZ0	PAIP2_RAT	reviewed	Polyadenylate-binding protein-interacting protein 2 (PABP-interacting protein 2) (PAIP-2) (Poly(A)-binding protein-interacting protein 2)	Rattus norvegicus (Rat)	Paip2	NP_001014170.1;XP_008770266.1;XP_008770270.1;XP_017456481.1;XP_017456482.1;XP_017456484.1;	
P52591	PO121_RAT	reviewed	Nuclear envelope pore membrane protein POM 121 (Nucleoporin Nup121) (Pore membrane protein of 121 kDa) (p145)	Rattus norvegicus (Rat)	Pom121	NP_446074.1;	P52591;
Q6MFY6	PP1RB_RAT	reviewed	E3 ubiquitin-protein ligase PPP1R11 (EC 2.3.2.27) (Protein phosphatase 1 regulatory subunit 11)	Rattus norvegicus (Rat)	Ppp1r11	NP_997707.2 [Q6MFY6-1];	Q6MFY6;
Q5PQQ4	PIGC_RAT	reviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C (Phosphatidylinositol-glycan biosynthesis class C protein) (PIG-C)	Rattus norvegicus (Rat)	Pigc	NP_001012207.1;XP_006250244.1;XP_006250245.1;XP_008767887.1;	
P10688	PLCD1_RAT	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)	Rattus norvegicus (Rat)	Plcd1	NP_058731.1;	P10688;
Q5IRJ7	PROF4_RAT	reviewed	Profilin-4 (Profilin IV)	Rattus norvegicus (Rat)	Pfn4	NP_001009503.1;	
B2RZ59	SH21A_RAT	reviewed	SH2 domain-containing protein 1A	Rattus norvegicus (Rat)	Sh2d1a	NP_001102783.2;XP_008771750.1;	B2RZ59;
P61765	STXB1_RAT	reviewed	Syntaxin-binding protein 1 (N-Sec1) (Protein unc-18 homolog 1) (Unc18-1) (Protein unc-18 homolog A) (Unc-18A) (p67) (rbSec1)	Rattus norvegicus (Rat)	Stxbp1	NP_037170.1 [P61765-1];XP_006234001.1 [P61765-2];	P61765;
Q9JKU6	STRBP_RAT	reviewed	Spermatid perinuclear RNA-binding protein (74 kDa double-stranded RNA-binding protein) (p74)	Rattus norvegicus (Rat)	Strbp		Q9JKU6;
O08623	SQSTM_RAT	reviewed	Sequestosome-1 (Protein kinase C-zeta-interacting protein) (PKC-zeta-interacting protein) (Ubiquitin-binding protein p62)	Rattus norvegicus (Rat)	Sqstm1	NP_787037.2 [O08623-1];NP_853528.1 [O08623-3];XP_006246275.1 [O08623-2];	O08623;
Q812E4	SYTL5_RAT	reviewed	Synaptotagmin-like protein 5	Rattus norvegicus (Rat)	Sytl5	NP_848016.1;	Q812E4;
Q76HP2	T132D_RAT	reviewed	Transmembrane protein 132D (Mature oligodendrocytes transmembrane protein) (Mature OL transmembrane protein)	Rattus norvegicus (Rat)	Tmem132d	NP_942022.1;	
Q62880	TAF9B_RAT	reviewed	Transcription initiation factor TFIID subunit 9B (Neuronal cell death-related gene in neuron 7) (DN-7) (Transcription initiation factor TFIID subunit 9-like) (Transcription-associated factor TAFII31L)	Rattus norvegicus (Rat)	Taf9b	NP_598299.1;XP_006257056.1;	Q62880;
B2RYT9	TACO1_RAT	reviewed	Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase I)	Rattus norvegicus (Rat)	Taco1	NP_001101772.1;	
P80204	TGFR1_RAT	reviewed	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	Rattus norvegicus (Rat)	Tgfbr1	XP_006238092.2;	P80204;
P17764	THIL_RAT	reviewed	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	Rattus norvegicus (Rat)	Acat1	NP_058771.2;	P17764;
Q6AXV2	TEKT4_RAT	reviewed	Tektin-4	Rattus norvegicus (Rat)	Tekt4	NP_001013987.1;	
